sub_id,trial,img,illum,rg,by,lighter_darker,bkgd,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
06,4,5,green,1,2,darker,voronoi_diff_dist,46.0485622,-32.6098377,3.3209860,54.2297712,-37.4521278,4.8203685,0.3406319,0.4155085,0.2899761,0.3412766,0.4171102,0.2908155,0.44065,-0.34318,0.516,-0.59114,-0.41635,-0.9953,-0.0026358,-0.000261,0.69587,-0.59209,-0.59712,0.13141,0.0004547,0.0004542,0.0002161,0.0065854,0.0064238,0.0023601,0.27927,0.32495,0.12547,2.3459,2.6068,0.92609,89.7665,-43.6833,15.8834
06,1,6,green,1,2,darker,voronoi_diff_dist_brighter,34.4539647,3.4952675,1.8246102,41.0996374,3.6498858,2.9518137,0.2008283,0.1924834,0.1620957,0.2011252,0.1928772,0.1623166,0.12054,-0.33962,0.52726,-0.60242,-0.41591,-0.98408,-0.011346,0.014043,4.9332,-2.6208,-7.2225,0.066065,0.0015299,0.0016091,0.0013793,0.0064598,0.0063919,0.0026925,0.10748,0.13271,0.076113,0.35116,0.40324,0.16075,90.0276,-44.1682,15.7754
06,2,6,green,1,2,darker,voronoi_diff_dist_brighter,52.2946580,-4.4518263,17.9686926,61.3091073,-5.3361568,21.3121732,0.4923424,0.4793577,0.2569064,0.4939865,0.4820191,0.2588341,0.12054,-0.33962,0.52726,-0.60242,-0.41591,-0.98408,-0.011346,0.014043,4.9332,-2.6208,-7.2225,0.066065,0.0015299,0.0016091,0.0013793,0.0064598,0.0063919,0.0026925,0.10748,0.13271,0.076113,0.35116,0.40324,0.16075,90.0276,-44.1682,15.7754
06,3,6,green,1,2,darker,voronoi_diff_dist_brighter,43.8022520,-3.5517210,0.6722402,51.6784935,-4.4362736,1.8276783,0.3267674,0.3347139,0.2818614,0.3271759,0.3353962,0.2821488,0.12054,-0.33962,0.52726,-0.60242,-0.41591,-0.98408,-0.011346,0.014043,4.9332,-2.6208,-7.2225,0.066065,0.0015299,0.0016091,0.0013793,0.0064598,0.0063919,0.0026925,0.10748,0.13271,0.076113,0.35116,0.40324,0.16075,90.0276,-44.1682,15.7754
06,4,6,green,1,2,darker,voronoi_diff_dist_brighter,33.8048959,-1.4763519,9.7087131,40.3768575,-1.9115385,11.7529958,0.1915011,0.1858016,0.1148559,0.1920603,0.1866713,0.1154544,0.12054,-0.33962,0.52726,-0.60242,-0.41591,-0.98408,-0.011346,0.014043,4.9332,-2.6208,-7.2225,0.066065,0.0015299,0.0016091,0.0013793,0.0064598,0.0063919,0.0026925,0.10748,0.13271,0.076113,0.35116,0.40324,0.16075,90.0276,-44.1682,15.7754
06,1,7,green,3,1,lighter,voronoi_diff_dist,51.6697565,5.1985726,11.4664536,60.5934439,5.5594163,14.0452653,0.4884467,0.4525643,0.3037423,0.4896637,0.4543379,0.3049905,0.077379,-0.24646,0.5958,0.36313,-1.4321,-0.98908,0.0031491,-0.0034396,2.6377,1.6166,0.1857,0.58987,0.0011787,0.0008666,0.0003831,0.0086156,0.0068135,0.002181,0.62755,0.55302,0.21437,2.9445,2.6846,0.85765,91.5906,-6.2003,73.7937
06,2,7,green,3,1,lighter,voronoi_diff_dist,46.5935742,-11.4910712,24.2349762,54.8656139,-13.2302468,28.1872852,0.3737216,0.3757527,0.1494037,0.3753557,0.3785008,0.1514312,0.077379,-0.24646,0.5958,0.36313,-1.4321,-0.98908,0.0031491,-0.0034396,2.6377,1.6166,0.1857,0.58987,0.0011787,0.0008666,0.0003831,0.0086156,0.0068135,0.002181,0.62755,0.55302,0.21437,2.9445,2.6846,0.85765,91.5906,-6.2003,73.7937
06,3,7,green,3,1,lighter,voronoi_diff_dist,48.5372867,0.1422132,11.3119834,57.0502270,-0.1583332,13.8124422,0.4185011,0.4015924,0.2601101,0.4196163,0.4033179,0.2612936,0.077379,-0.24646,0.5958,0.36313,-1.4321,-0.98908,0.0031491,-0.0034396,2.6377,1.6166,0.1857,0.58987,0.0011787,0.0008666,0.0003831,0.0086156,0.0068135,0.002181,0.62755,0.55302,0.21437,2.9445,2.6846,0.85765,91.5906,-6.2003,73.7937
06,4,7,green,3,1,lighter,voronoi_diff_dist,46.5102001,-4.0356911,24.7797734,54.7700348,-4.7708795,28.8009636,0.3794957,0.3612616,0.1460410,0.3811466,0.3638728,0.1479903,0.077379,-0.24646,0.5958,0.36313,-1.4321,-0.98908,0.0031491,-0.0034396,2.6377,1.6166,0.1857,0.58987,0.0011787,0.0008666,0.0003831,0.0086156,0.0068135,0.002181,0.62755,0.55302,0.21437,2.9445,2.6846,0.85765,91.5906,-6.2003,73.7937
06,1,8,green,3,1,lighter,voronoi_diff_dist_brighter,41.5659824,-11.2738407,12.2760316,49.1639839,-13.0635175,14.7553438,0.2881115,0.2999161,0.1703616,0.2890059,0.3014938,0.1714578,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
06,2,8,green,3,1,lighter,voronoi_diff_dist_brighter,42.7251465,-13.0773751,17.5565023,50.4821557,-15.0651324,20.6698414,0.3057218,0.3169718,0.1506815,0.3069275,0.3190538,0.1521422,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
06,3,8,green,3,1,lighter,voronoi_diff_dist_brighter,51.4876635,-31.6739581,42.2197963,60.4201989,-35.9988777,48.2515637,0.4521649,0.4946837,0.0983304,0.4548492,0.4995015,0.1019232,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
