sub_id,trial,img,illum,body,highlow,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
02,1,15,yellow,red,1,20.3743699,16.5523950,-8.9211173,25.1465588,18.4662345,-9.3276889,0.0793255,0.0670023,0.0975890,0.0791913,0.0666507,0.0972767,-0.41073,-0.1512,0.52127,0.48807,-0.17883,-0.89431,0.15491,-0.065323,21.3399,31.4608,14.2518,0.034368,0.013069,0.005875,0.002376,0.018073,0.0093409,0.0043515,0.29726,0.23471,0.17149,0.48832,0.40968,0.25479,89.8888,22.0844,6.4563
02,2,15,yellow,red,1,64.1805966,18.3578358,9.9513277,74.7475743,20.4026344,12.5880212,0.8326760,0.7199545,0.5534373,0.8343216,0.7218774,0.5547590,-0.41073,-0.1512,0.52127,0.48807,-0.17883,-0.89431,0.15491,-0.065323,21.3399,31.4608,14.2518,0.034368,0.013069,0.005875,0.002376,0.018073,0.0093409,0.0043515,0.29726,0.23471,0.17149,0.48832,0.40968,0.25479,89.8888,22.0844,6.4563
02,3,15,yellow,red,1,32.1268842,17.4493747,-4.8022004,38.4521602,19.4505731,-4.5047519,0.1822807,0.1551071,0.1788843,0.1822568,0.1548257,0.1786065,-0.41073,-0.1512,0.52127,0.48807,-0.17883,-0.89431,0.15491,-0.065323,21.3399,31.4608,14.2518,0.034368,0.013069,0.005875,0.002376,0.018073,0.0093409,0.0043515,0.29726,0.23471,0.17149,0.48832,0.40968,0.25479,89.8888,22.0844,6.4563
02,4,15,yellow,red,1,32.7265120,19.5857885,-8.3776168,39.1259055,21.8339281,-8.4956521,0.1897114,0.1613471,0.2089732,0.1895301,0.1607929,0.2084289,-0.41073,-0.1512,0.52127,0.48807,-0.17883,-0.89431,0.15491,-0.065323,21.3399,31.4608,14.2518,0.034368,0.013069,0.005875,0.002376,0.018073,0.0093409,0.0043515,0.29726,0.23471,0.17149,0.48832,0.40968,0.25479,89.8888,22.0844,6.4563
02,5,15,yellow,red,1,31.1647806,16.8546795,5.5395765,37.3791643,18.8742410,7.0551968,0.1734308,0.1396576,0.1143450,0.1737737,0.1399644,0.1145670,-0.41073,-0.1512,0.52127,0.48807,-0.17883,-0.89431,0.15491,-0.065323,21.3399,31.4608,14.2518,0.034368,0.013069,0.005875,0.002376,0.018073,0.0093409,0.0043515,0.29726,0.23471,0.17149,0.48832,0.40968,0.25479,89.8888,22.0844,6.4563
02,1,16,yellow,yellow,1,48.7709994,-0.3521499,10.2385774,57.3124658,-0.7325920,12.6167075,0.4221797,0.4080419,0.2720342,0.4232198,0.4096714,0.2731589,-0.31834,-0.19303,0.58569,0.47538,-1.1692,-0.88495,0.10496,-0.083556,22.3034,19.1424,17.8671,0.057661,0.013333,0.007638,0.0020158,0.018313,0.011455,0.0036291,0.30786,0.30162,0.14919,0.49396,0.50523,0.21352,91.363,4.3611,53.6951
02,2,16,yellow,yellow,1,61.0854440,23.6413120,15.7149720,71.2503069,26.4651115,18.9755800,0.7530758,0.6125271,0.4209140,0.7549865,0.6147204,0.4226717,-0.31834,-0.19303,0.58569,0.47538,-1.1692,-0.88495,0.10496,-0.083556,22.3034,19.1424,17.8671,0.057661,0.013333,0.007638,0.0020158,0.018313,0.011455,0.0036291,0.30786,0.30162,0.14919,0.49396,0.50523,0.21352,91.363,4.3611,53.6951
02,3,16,yellow,yellow,1,37.8003033,8.5686202,7.8822884,44.8940370,9.4442057,9.7937536,0.2487299,0.2220726,0.1599140,0.2493209,0.2228354,0.1604410,-0.31834,-0.19303,0.58569,0.47538,-1.1692,-0.88495,0.10496,-0.083556,22.3034,19.1424,17.8671,0.057661,0.013333,0.007638,0.0020158,0.018313,0.011455,0.0036291,0.30786,0.30162,0.14919,0.49396,0.50523,0.21352,91.363,4.3611,53.6951
02,4,16,yellow,yellow,1,45.3762943,13.4586915,4.4830319,53.4619476,14.9167283,6.1262680,0.3718932,0.3271397,0.2732949,0.3724716,0.3277620,0.2737209,-0.31834,-0.19303,0.58569,0.47538,-1.1692,-0.88495,0.10496,-0.083556,22.3034,19.1424,17.8671,0.057661,0.013333,0.007638,0.0020158,0.018313,0.011455,0.0036291,0.30786,0.30162,0.14919,0.49396,0.50523,0.21352,91.363,4.3611,53.6951
02,5,16,yellow,yellow,1,52.7122294,15.6650028,11.4316758,61.7709164,17.4316955,14.0314545,0.5249897,0.4498933,0.3208094,0.5261919,0.4513798,0.3219061,-0.31834,-0.19303,0.58569,0.47538,-1.1692,-0.88495,0.10496,-0.083556,22.3034,19.1424,17.8671,0.057661,0.013333,0.007638,0.0020158,0.018313,0.011455,0.0036291,0.30786,0.30162,0.14919,0.49396,0.50523,0.21352,91.363,4.3611,53.6951
02,1,17,blue,blue,0,72.3208826,-8.9644937,-17.8773334,83.9226299,-11.0483210,-18.4318955,1.0305780,1.1392172,1.3000349,1.0291462,1.1374389,1.2974051,0.024649,-0.30249,0.42226,-0.57208,0.59525,-0.7795,-0.082793,0.16891,34.2098,-2.3732,-16.7956,0.20606,0.022173,0.020776,0.018028,0.022251,0.021946,0.017722,0.54829,0.69541,0.69287,0.66252,0.96072,0.78955,87.5399,-22.1748,-19.4868
02,2,17,blue,blue,0,76.6256315,-11.5902054,-6.8212807,89.1906782,-29.3552455,-16.7200846,1.2289515,1.3861056,1.4323928,1.6405372,2.4011562,2.7832310,0.024649,-0.30249,0.42226,-0.57208,0.59525,-0.7795,-0.082793,0.16891,34.2098,-2.3732,-16.7956,0.20606,0.022173,0.020776,0.018028,0.022251,0.021946,0.017722,0.54829,0.69541,0.69287,0.66252,0.96072,0.78955,87.5399,-22.1748,-19.4868
02,3,17,blue,blue,0,43.3600983,3.9002645,-15.6163793,51.1490002,3.8194698,-16.4216428,0.3204425,0.3347232,0.4343443,0.3197309,0.3335735,0.4330715,0.024649,-0.30249,0.42226,-0.57208,0.59525,-0.7795,-0.082793,0.16891,34.2098,-2.3732,-16.7956,0.20606,0.022173,0.020776,0.018028,0.022251,0.021946,0.017722,0.54829,0.69541,0.69287,0.66252,0.96072,0.78955,87.5399,-22.1748,-19.4868
02,4,17,blue,blue,0,57.8073738,-2.7196553,-14.5605540,67.5028398,-3.7950852,-14.9755946,0.6082240,0.6525240,0.7529570,0.6074294,0.6514125,0.7513928,0.024649,-0.30249,0.42226,-0.57208,0.59525,-0.7795,-0.082793,0.16891,34.2098,-2.3732,-16.7956,0.20606,0.022173,0.020776,0.018028,0.022251,0.021946,0.017722,0.54829,0.69541,0.69287,0.66252,0.96072,0.78955,87.5399,-22.1748,-19.4868
02,5,17,blue,blue,0,56.4249230,-1.9234813,-14.4644492,65.9379474,-2.8781687,-14.8933396,0.5755814,0.6151075,0.7142527,0.5747836,0.6139750,0.7127188,0.024649,-0.30249,0.42226,-0.57208,0.59525,-0.7795,-0.082793,0.16891,34.2098,-2.3732,-16.7956,0.20606,0.022173,0.020776,0.018028,0.022251,0.021946,0.017722,0.54829,0.69541,0.69287,0.66252,0.96072,0.78955,87.5399,-22.1748,-19.4868
02,1,18,blue,green,0,14.6842533,-13.8688937,-9.4091305,18.7136319,-16.1841492,-9.9908022,0.0405456,0.0530161,0.0638539,0.0404517,0.0529307,0.0637198,0.08263,-0.32857,0.44296,-1.0622,0.58955,-0.84514,-0.1041,0.012196,27.2581,-23.2083,-2.6578,0.21455,0.014775,0.015338,0.0080156,0.018405,0.019851,0.0096493,0.37963,0.53046,0.35201,0.52882,0.8455,0.42055,88.0397,-54.9194,-19.1588
02,2,18,blue,green,0,15.5605533,-15.6158712,-10.4053396,19.7001215,-18.1929234,-11.0911850,0.0437524,0.0584728,0.0718950,0.0436188,0.0583434,0.0716908,0.08263,-0.32857,0.44296,-1.0622,0.58955,-0.84514,-0.1041,0.012196,27.2581,-23.2083,-2.6578,0.21455,0.014775,0.015338,0.0080156,0.018405,0.019851,0.0096493,0.37963,0.53046,0.35201,0.52882,0.8455,0.42055,88.0397,-54.9194,-19.1588
02,3,18,blue,green,0,22.8513946,-20.5466811,-11.5678880,27.9511825,-23.8599587,-12.2651203,0.0814504,0.1090211,0.1278333,0.0812450,0.1088533,0.1275331,0.08263,-0.32857,0.44296,-1.0622,0.58955,-0.84514,-0.1041,0.012196,27.2581,-23.2083,-2.6578,0.21455,0.014775,0.015338,0.0080156,0.018405,0.019851,0.0096493,0.37963,0.53046,0.35201,0.52882,0.8455,0.42055,88.0397,-54.9194,-19.1588
02,4,18,blue,green,0,28.2476749,-4.9913173,-13.6175538,34.0518309,-6.1860550,-14.4602184,0.1282633,0.1472056,0.1922174,0.1279088,0.1467155,0.1916477,0.08263,-0.32857,0.44296,-1.0622,0.58955,-0.84514,-0.1041,0.012196,27.2581,-23.2083,-2.6578,0.21455,0.014775,0.015338,0.0080156,0.018405,0.019851,0.0096493,0.37963,0.53046,0.35201,0.52882,0.8455,0.42055,88.0397,-54.9194,-19.1588
02,5,18,blue,green,0,48.5661036,-19.2154305,-3.6073901,57.0657441,-22.3418696,-2.8810117,0.3942241,0.4537537,0.3980775,0.3944517,0.4545169,0.3981945,0.08263,-0.32857,0.44296,-1.0622,0.58955,-0.84514,-0.1041,0.012196,27.2581,-23.2083,-2.6578,0.21455,0.014775,0.015338,0.0080156,0.018405,0.019851,0.0096493,0.37963,0.53046,0.35201,0.52882,0.8455,0.42055,88.0397,-54.9194,-19.1588
